date,TB3MS,T10Y2Y,BAA10Y
2016-03-31,0.29,1.05,3.12
2016-04-01,0.23,1.03,3.1
2016-04-04,0.23,1.03,3.1
2016-04-05,0.23,1.01,3.08
2016-04-06,0.23,1.03,3.08
2016-04-07,0.23,1.0,3.06
2016-04-08,0.23,1.02,3.07
2016-04-11,0.23,1.03,3.05
2016-04-12,0.23,1.05,3.03
2016-04-13,0.23,1.02,3.01
2016-04-14,0.23,1.03,2.99
2016-04-15,0.23,1.02,2.99
2016-04-18,0.23,1.03,2.99
2016-04-19,0.23,1.02,2.96
2016-04-20,0.23,1.05,2.93
2016-04-21,0.23,1.06,2.91
2016-04-22,0.23,1.05,2.89
2016-04-25,0.23,1.06,2.88
2016-04-26,0.23,1.08,2.85
2016-04-27,0.23,1.04,2.86
2016-04-28,0.23,1.06,2.89
2016-04-29,0.23,1.06,2.86
2016-05-01,0.27,1.06,2.86
2016-05-02,0.27,1.08,2.86
2016-05-03,0.27,1.06,2.85
2016-05-04,0.27,1.04,2.85
2016-05-05,0.27,1.04,2.86
2016-05-06,0.27,1.05,2.87
2016-05-09,0.27,1.05,2.89
2016-05-10,0.27,1.05,2.89
2016-05-11,0.27,0.99,2.9
2016-05-12,0.27,0.99,2.91
2016-05-13,0.27,0.95,2.9
2016-05-16,0.27,0.96,2.9
2016-05-17,0.27,0.94,2.89
2016-05-18,0.27,0.97,2.87
2016-05-19,0.27,0.96,2.85
2016-05-20,0.27,0.96,2.86
2016-05-23,0.27,0.93,2.86
2016-05-24,0.27,0.94,2.85
2016-05-25,0.27,0.95,2.87
2016-05-26,0.27,0.96,2.86
2016-05-27,0.27,0.95,2.85
2016-05-30,0.27,0.95,2.85
2016-05-31,0.27,0.97,2.84
2016-06-01,0.27,0.94,2.82
2016-06-02,0.27,0.92,2.83
2016-06-03,0.27,0.93,2.86
2016-06-06,0.27,0.93,2.86
2016-06-07,0.27,0.94,2.86
2016-06-08,0.27,0.93,2.85
2016-06-09,0.27,0.91,2.85
2016-06-10,0.27,0.91,2.86
2016-06-13,0.27,0.89,2.86
2016-06-14,0.27,0.88,2.88
2016-06-15,0.27,0.91,2.9
2016-06-16,0.27,0.87,2.9
2016-06-17,0.27,0.92,2.89
2016-06-20,0.27,0.93,2.87
2016-06-21,0.27,0.95,2.86
2016-06-22,0.27,0.94,2.86
2016-06-23,0.27,0.96,2.86
2016-06-24,0.27,0.93,2.98
2016-06-27,0.27,0.85,2.96
2016-06-28,0.27,0.85,2.95
2016-06-29,0.27,0.88,2.9
2016-06-30,0.27,0.91,2.92
2016-07-01,0.3,0.87,2.86
2016-07-04,0.3,0.87,2.86
2016-07-05,0.3,0.81,2.83
2016-07-06,0.3,0.8,2.83
2016-07-07,0.3,0.82,2.79
2016-07-08,0.3,0.76,2.78
2016-07-11,0.3,0.77,2.75
2016-07-12,0.3,0.84,2.7
2016-07-13,0.3,0.8,2.69
2016-07-14,0.3,0.85,2.7
2016-07-15,0.3,0.89,2.66
2016-07-18,0.3,0.91,2.67
2016-07-19,0.3,0.86,2.67
2016-07-20,0.3,0.86,2.66
2016-07-21,0.3,0.87,2.68
2016-07-22,0.3,0.86,2.66
2016-07-25,0.3,0.86,2.65
2016-07-26,0.3,0.82,2.65
2016-07-27,0.3,0.79,2.67
2016-07-28,0.3,0.8,2.68
2016-07-29,0.3,0.79,2.71
2016-08-01,0.3,0.84,2.73
2016-08-02,0.3,0.88,2.75
2016-08-03,0.3,0.88,2.76
2016-08-04,0.3,0.87,2.76
2016-08-05,0.3,0.87,2.73
2016-08-08,0.3,0.85,2.71
2016-08-09,0.3,0.84,2.7
2016-08-10,0.3,0.81,2.71
2016-08-11,0.3,0.81,2.7
2016-08-12,0.3,0.8,2.71
2016-08-15,0.3,0.83,2.7
2016-08-16,0.3,0.81,2.7
2016-08-17,0.3,0.82,2.69
2016-08-18,0.3,0.82,2.7
2016-08-19,0.3,0.82,2.67
2016-08-22,0.3,0.79,2.65
2016-08-23,0.3,0.81,2.64
2016-08-24,0.3,0.8,2.64
2016-08-25,0.3,0.8,2.63
2016-08-26,0.3,0.78,2.63
2016-08-29,0.3,0.76,2.59
2016-08-30,0.3,0.77,2.62
2016-08-31,0.3,0.78,2.61
2016-09-01,0.29,0.79,2.62
2016-09-02,0.29,0.8,2.63
2016-09-05,0.29,0.8,2.63
2016-09-06,0.29,0.81,2.64
2016-09-07,0.29,0.8,2.65
2016-09-08,0.29,0.83,2.67
2016-09-09,0.29,0.88,2.67
2016-09-12,0.29,0.89,2.68
2016-09-13,0.29,0.93,2.7
2016-09-14,0.29,0.93,2.7
2016-09-15,0.29,0.97,2.72
2016-09-16,0.29,0.93,2.71
2016-09-19,0.29,0.91,2.7
2016-09-20,0.29,0.9,2.7
2016-09-21,0.29,0.87,2.7
2016-09-22,0.29,0.84,2.69
2016-09-23,0.29,0.85,2.68
2016-09-26,0.29,0.83,2.7
2016-09-27,0.29,0.81,2.69
2016-09-28,0.29,0.82,2.69
2016-09-29,0.29,0.83,2.67
2016-09-30,0.29,0.83,2.69
2016-10-01,0.33,0.83,2.69
2016-10-03,0.33,0.83,2.66
